"Column Name","Label"
"DP4_C105","Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50"
"DP4_C106","Percent!!OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50"
"DP4_C107","Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more"
"DP4_C108","Percent!!OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more"
"DP4_C109","Number!!Specified owner-occupied units"
"DP4_C110","Percent!!Specified owner-occupied units"
"DP4_C111","Number!!Specified owner-occupied units!!VALUE!!Less than $50,000"
"DP4_C112","Percent!!Specified owner-occupied units!!VALUE!!Less than $50,000"
"DP4_C113","Number!!Specified owner-occupied units!!VALUE!!$50,000 to $99,999"
"DP4_C114","Percent!!Specified owner-occupied units!!VALUE!!$50,000 to $99,999"
"DP4_C115","Number!!Specified owner-occupied units!!VALUE!!$100,000 to $149,999"
"DP4_C116","Percent!!Specified owner-occupied units!!VALUE!!$100,000 to $149,999"
"DP4_C117","Number!!Specified owner-occupied units!!VALUE!!$150,000 to $199,999"
"DP4_C118","Percent!!Specified owner-occupied units!!VALUE!!$150,000 to $199,999"
"DP4_C119","Number!!Specified owner-occupied units!!VALUE!!$200,000 to $299,999"
"DP4_C120","Percent!!Specified owner-occupied units!!VALUE!!$200,000 to $299,999"
"DP4_C121","Number!!Specified owner-occupied units!!VALUE!!$300,000 to $499,999"
"DP4_C122","Percent!!Specified owner-occupied units!!VALUE!!$300,000 to $499,999"
"DP4_C123","Number!!Specified owner-occupied units!!VALUE!!$500,000 to $999,999"
"DP4_C124","Percent!!Specified owner-occupied units!!VALUE!!$500,000 to $999,999"
"DP4_C125","Number!!Specified owner-occupied units!!VALUE!!$1,000,000 or more"
"DP4_C126","Percent!!Specified owner-occupied units!!VALUE!!$1,000,000 or more"
"DP4_C127","Number!!Specified owner-occupied units!!VALUE!!Median (dollars)"
"DP4_E2","Percent!!Specified owner-occupied units!!VALUE!!Median (dollars)"
"DP4_C128","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage"
"DP4_C129","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage"
"DP4_C130","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!Less than $300"
"DP4_C131","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!Less than $300"
"DP4_C132","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$300 to $499"
"DP4_C133","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$300 to $499"
"DP4_C134","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$500 to $699"
"DP4_C135","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$500 to $699"
"DP4_C136","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$700 to $999"
"DP4_C137","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$700 to $999"
"DP4_C138","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$1,000 to $1,499"
"DP4_C139","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$1,000 to $1,499"
